2025-08-28 15:39:54,835 - INFO - Camera configuration has been adjusted!
2025-08-28 15:39:54,837 - INFO - Configuration successful!
2025-08-28 15:39:56,357 - INFO - Camera started
2025-08-28 15:40:02,047 - INFO - ['9.94', '-3.50', '-2.69', '9.94', '-3.50', '-2.69', '9.94', '-3.50', '-2.69', '85', '54', '48228', '35', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:02,152 - INFO - ['9.44', '-3.56', '-2.69', '9.44', '-3.56', '-2.69', '9.44', '-3.56', '-2.69', '92', '54', '48228', '35', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:02,257 - INFO - ['8.94', '-3.63', '-2.63', '8.94', '-3.63', '-2.63', '8.94', '-3.63', '-2.63', '110', '55', '48228', '34', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:02,313 - INFO - ['8.63', '-3.63', '-2.56', '8.63', '-3.63', '-2.56', '8.63', '-3.63', '-2.56', '122', '56', '48228', '35', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:02,371 - INFO - ['8.44', '-3.69', '-2.56', '8.44', '-3.69', '-2.56', '8.44', '-3.69', '-2.56', '125', '56', '48228', '34', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:02,479 - INFO - ['8.00', '-3.63', '-2.63', '8.00', '-3.63', '-2.63', '8.00', '-3.63', '-2.63', '118', '56', '48228', '33', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:02,584 - INFO - ['7.69', '-3.69', '-2.69', '7.69', '-3.69', '-2.69', '7.69', '-3.69', '-2.69', '119', '57', '48228', '34', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:02,691 - INFO - ['7.44', '-3.63', '-2.63', '7.44', '-3.63', '-2.63', '7.44', '-3.63', '-2.63', '113', '57', '48228', '32', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:02,746 - INFO - ['7.31', '-3.63', '-2.56', '7.31', '-3.63', '-2.56', '7.31', '-3.63', '-2.56', '109', '57', '48228', '33', '6412', '-976', '0', '3', '0', '0', '']
2025-08-28 15:40:02,805 - INFO - ['7.25', '-3.69', '-2.56', '7.25', '-3.69', '-2.56', '7.25', '-3.69', '-2.56', '106', '57', '48228', '34', '6412', '-981', '0', '3', '0', '0', '']
2025-08-28 15:40:02,863 - INFO - ['7.13', '-3.69', '-2.56', '7.13', '-3.69', '-2.56', '7.13', '-3.69', '-2.56', '96', '58', '48228', '33', '6412', '-987', '0', '3', '0', '0', '']
2025-08-28 15:40:02,968 - INFO - ['6.75', '-3.75', '-2.50', '6.75', '-3.75', '-2.50', '6.75', '-3.75', '-2.50', '99', '57', '48228', '31', '6412', '-1016', '0', '3', '0', '0', '']
2025-08-28 15:40:03,073 - INFO - ['6.44', '-3.75', '-2.50', '6.44', '-3.75', '-2.50', '6.44', '-3.75', '-2.50', '101', '59', '48228', '31', '6412', '-1040', '0', '3', '0', '0', '']
2025-08-28 15:40:03,132 - INFO - ['6.31', '-3.75', '-2.50', '6.31', '-3.75', '-2.50', '6.31', '-3.75', '-2.50', '102', '59', '48228', '30', '6412', '-1054', '0', '3', '0', '0', '']
2025-08-28 15:40:03,236 - INFO - ['6.13', '-3.81', '-2.56', '6.13', '-3.81', '-2.56', '6.13', '-3.81', '-2.56', '100', '59', '48228', '29', '6412', '-1079', '0', '3', '0', '0', '']
2025-08-28 15:40:03,295 - INFO - ['6.00', '-3.81', '-2.63', '6.00', '-3.81', '-2.63', '6.00', '-3.81', '-2.63', '99', '59', '48228', '32', '6412', '-1091', '0', '3', '0', '0', '']
2025-08-28 15:40:03,353 - INFO - ['5.81', '-3.75', '-2.75', '5.81', '-3.75', '-2.75', '5.81', '-3.75', '-2.75', '97', '59', '48228', '31', '6412', '-1103', '0', '3', '0', '0', '']
2025-08-28 15:40:03,411 - INFO - ['5.56', '-3.69', '-2.81', '5.56', '-3.69', '-2.81', '5.56', '-3.69', '-2.81', '92', '61', '48228', '31', '6412', '-1118', '0', '3', '0', '0', '']
2025-08-28 15:40:03,516 - INFO - ['5.31', '-3.75', '-2.81', '5.31', '-3.75', '-2.81', '5.31', '-3.75', '-2.81', '94', '60', '48228', '32', '6412', '-1141', '0', '3', '0', '0', '']
2025-08-28 15:40:03,574 - INFO - ['5.13', '-3.75', '-2.81', '5.13', '-3.75', '-2.81', '5.13', '-3.75', '-2.81', '101', '60', '48228', '29', '6412', '-1153', '0', '3', '0', '0', '']
2025-08-28 15:40:03,678 - INFO - ['4.75', '-3.81', '-2.75', '4.75', '-3.81', '-2.75', '4.75', '-3.81', '-2.75', '99', '62', '48228', '28', '6412', '-1177', '0', '3', '0', '0', '']
2025-08-28 15:40:03,737 - INFO - ['4.69', '-3.81', '-2.75', '4.69', '-3.81', '-2.75', '4.69', '-3.81', '-2.75', '98', '61', '48228', '30', '6412', '-1190', '0', '3', '0', '0', '']
