2025-08-28 15:37:55,291 - INFO - Camera configuration has been adjusted!
2025-08-28 15:37:55,292 - INFO - Configuration successful!
2025-08-28 15:37:56,814 - INFO - Camera started
2025-08-28 15:38:03,730 - INFO - ['11.25', '-3.75', '-2.56', '11.25', '-3.75', '-2.56', '11.25', '-3.75', '-2.56', '126', '121', '48228', '34', '328', '-153', '0', '3', '0', '0', '']
2025-08-28 15:38:03,789 - INFO - ['11.13', '-3.75', '-2.56', '11.13', '-3.75', '-2.56', '11.13', '-3.75', '-2.56', '131', '116', '48228', '34', '328', '-157', '0', '3', '0', '0', '']
2025-08-28 15:38:03,847 - INFO - ['10.94', '-3.75', '-2.56', '10.94', '-3.75', '-2.56', '10.94', '-3.75', '-2.56', '137', '114', '48228', '34', '328', '-166', '0', '3', '0', '0', '']
2025-08-28 15:38:03,905 - INFO - ['10.75', '-3.75', '-2.56', '10.75', '-3.75', '-2.56', '10.75', '-3.75', '-2.56', '139', '110', '48228', '34', '328', '-176', '0', '3', '0', '0', '']
2025-08-28 15:38:04,011 - INFO - ['10.31', '-3.75', '-2.56', '10.31', '-3.75', '-2.56', '10.31', '-3.75', '-2.56', '140', '100', '48228', '33', '328', '-195', '0', '3', '0', '0', '']
2025-08-28 15:38:04,068 - INFO - ['10.13', '-3.75', '-2.56', '10.13', '-3.75', '-2.56', '10.13', '-3.75', '-2.56', '137', '95', '48228', '33', '328', '-206', '0', '3', '0', '0', '']
2025-08-28 15:38:04,173 - INFO - ['9.75', '-3.75', '-2.63', '9.75', '-3.75', '-2.63', '9.75', '-3.75', '-2.63', '125', '92', '48228', '33', '328', '-227', '0', '3', '0', '0', '']
2025-08-28 15:38:04,277 - INFO - ['9.31', '-3.75', '-2.63', '9.31', '-3.75', '-2.63', '9.31', '-3.75', '-2.63', '112', '82', '48228', '32', '328', '-245', '0', '3', '0', '0', '']
2025-08-28 15:38:04,335 - INFO - ['9.06', '-3.75', '-2.63', '9.06', '-3.75', '-2.63', '9.06', '-3.75', '-2.63', '103', '79', '48228', '33', '328', '-255', '0', '3', '0', '0', '']
2025-08-28 15:38:04,392 - INFO - ['8.88', '-3.69', '-2.69', '8.88', '-3.69', '-2.69', '8.88', '-3.69', '-2.69', '108', '79', '48228', '32', '328', '-266', '0', '3', '0', '0', '']
2025-08-28 15:38:04,449 - INFO - ['8.75', '-3.69', '-2.69', '8.75', '-3.69', '-2.69', '8.75', '-3.69', '-2.69', '105', '76', '48228', '32', '328', '-275', '0', '3', '0', '0', '']
2025-08-28 15:38:04,508 - INFO - ['8.56', '-3.69', '-2.69', '8.56', '-3.69', '-2.69', '8.56', '-3.69', '-2.69', '103', '73', '48228', '32', '328', '-283', '0', '3', '0', '0', '']
2025-08-28 15:38:04,565 - INFO - ['8.44', '-3.69', '-2.69', '8.44', '-3.69', '-2.69', '8.44', '-3.69', '-2.69', '103', '71', '48228', '32', '328', '-292', '0', '3', '0', '0', '']
2025-08-28 15:38:04,672 - INFO - ['8.19', '-3.63', '-2.75', '8.19', '-3.63', '-2.75', '8.19', '-3.63', '-2.75', '101', '67', '48228', '30', '328', '-304', '0', '3', '0', '0', '']
2025-08-28 15:38:04,777 - INFO - ['8.00', '-3.63', '-2.75', '8.00', '-3.63', '-2.75', '8.00', '-3.63', '-2.75', '105', '68', '48228', '32', '328', '-315', '0', '3', '0', '0', '']
2025-08-28 15:38:04,880 - INFO - ['7.88', '-3.63', '-2.75', '7.88', '-3.63', '-2.75', '7.88', '-3.63', '-2.75', '104', '64', '48228', '31', '328', '-323', '0', '3', '0', '0', '']
2025-08-28 15:38:04,986 - INFO - ['7.75', '-3.63', '-2.81', '7.75', '-3.63', '-2.81', '7.75', '-3.63', '-2.81', '101', '64', '48228', '31', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,091 - INFO - ['7.81', '-3.56', '-2.81', '7.81', '-3.56', '-2.81', '7.81', '-3.56', '-2.81', '103', '64', '48228', '30', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,197 - INFO - ['7.88', '-3.56', '-2.81', '7.88', '-3.56', '-2.81', '7.88', '-3.56', '-2.81', '102', '65', '48228', '31', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,303 - INFO - ['7.94', '-3.56', '-2.81', '7.94', '-3.56', '-2.81', '7.94', '-3.56', '-2.81', '103', '64', '48228', '31', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,406 - INFO - ['7.94', '-3.75', '-2.75', '7.94', '-3.75', '-2.75', '7.94', '-3.75', '-2.75', '101', '64', '48228', '30', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,465 - INFO - ['7.94', '-3.75', '-2.75', '7.94', '-3.75', '-2.75', '7.94', '-3.75', '-2.75', '102', '67', '48228', '31', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,523 - INFO - ['7.94', '-3.75', '-2.75', '7.94', '-3.75', '-2.75', '7.94', '-3.75', '-2.75', '103', '63', '48228', '31', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,630 - INFO - ['7.88', '-3.75', '-2.75', '7.88', '-3.75', '-2.75', '7.88', '-3.75', '-2.75', '103', '64', '48228', '31', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,684 - INFO - ['7.81', '-3.75', '-2.75', '7.81', '-3.75', '-2.75', '7.81', '-3.75', '-2.75', '105', '64', '48228', '32', '328', '-327', '0', '3', '0', '0', '']
2025-08-28 15:38:05,745 - INFO - ['7.69', '-3.75', '-2.81', '7.69', '-3.75', '-2.81', '7.69', '-3.75', '-2.81', '104', '60', '48228', '32', '328', '-332', '0', '3', '0', '0', '']
2025-08-28 15:38:05,848 - INFO - ['7.38', '-3.75', '-2.81', '7.38', '-3.75', '-2.81', '7.38', '-3.75', '-2.81', '103', '58', '48228', '32', '328', '-346', '0', '3', '0', '0', '']
2025-08-28 15:38:05,908 - INFO - ['7.25', '-3.75', '-2.81', '7.25', '-3.75', '-2.81', '7.25', '-3.75', '-2.81', '102', '59', '48228', '30', '328', '-355', '0', '3', '0', '0', '']
2025-08-28 15:38:06,011 - INFO - ['7.00', '-3.88', '-2.81', '7.00', '-3.88', '-2.81', '7.00', '-3.88', '-2.81', '99', '59', '48228', '29', '328', '-376', '0', '3', '0', '0', '']
2025-08-28 15:38:06,117 - INFO - ['6.63', '-3.88', '-2.81', '6.63', '-3.88', '-2.81', '6.63', '-3.88', '-2.81', '98', '60', '48228', '30', '328', '-399', '0', '3', '0', '0', '']
2025-08-28 15:38:06,221 - INFO - ['6.31', '-3.88', '-2.75', '6.31', '-3.88', '-2.75', '6.31', '-3.88', '-2.75', '96', '60', '48228', '31', '328', '-405', '0', '3', '0', '0', '']
2025-08-28 15:38:06,327 - INFO - ['5.94', '-3.88', '-2.81', '5.94', '-3.88', '-2.81', '5.94', '-3.88', '-2.81', '96', '60', '48228', '31', '328', '-423', '0', '3', '0', '0', '']
2025-08-28 15:38:06,385 - INFO - ['5.81', '-3.88', '-2.81', '5.81', '-3.88', '-2.81', '5.81', '-3.88', '-2.81', '89', '61', '48228', '28', '328', '-431', '0', '3', '0', '0', '']
2025-08-28 15:38:06,441 - INFO - ['5.75', '-3.81', '-2.88', '5.75', '-3.81', '-2.88', '5.75', '-3.81', '-2.88', '91', '61', '48228', '29', '328', '-438', '0', '3', '0', '0', '']
2025-08-28 15:38:06,549 - INFO - ['5.75', '-3.75', '-2.88', '5.75', '-3.75', '-2.88', '5.75', '-3.75', '-2.88', '90', '60', '48228', '28', '328', '-440', '0', '3', '0', '0', '']
2025-08-28 15:38:06,606 - INFO - ['5.75', '-3.69', '-2.88', '5.75', '-3.69', '-2.88', '5.75', '-3.69', '-2.88', '88', '60', '48228', '28', '328', '-440', '0', '3', '0', '0', '']
2025-08-28 15:38:06,664 - INFO - ['5.75', '-3.69', '-2.88', '5.75', '-3.69', '-2.88', '5.75', '-3.69', '-2.88', '91', '60', '48228', '29', '328', '-440', '0', '3', '0', '0', '']
2025-08-28 15:38:06,722 - INFO - ['5.81', '-3.69', '-2.81', '5.81', '-3.69', '-2.81', '5.81', '-3.69', '-2.81', '91', '61', '48228', '28', '328', '-440', '0', '3', '0', '0', '']
2025-08-28 15:38:06,779 - INFO - ['5.81', '-3.69', '-2.81', '5.81', '-3.69', '-2.81', '5.81', '-3.69', '-2.81', '95', '60', '48228', '28', '328', '-440', '0', '3', '0', '0', '']
2025-08-28 15:38:06,884 - INFO - ['5.88', '-3.81', '-2.81', '5.88', '-3.81', '-2.81', '5.88', '-3.81', '-2.81', '95', '60', '48228', '28', '328', '-440', '0', '3', '0', '0', '']
2025-08-28 15:38:06,943 - INFO - ['5.88', '-3.88', '-2.81', '5.88', '-3.88', '-2.81', '5.88', '-3.88', '-2.81', '93', '61', '48228', '29', '328', '-440', '0', '3', '0', '0', '']
2025-08-28 15:38:07,001 - INFO - ['5.88', '-3.88', '-2.81', '5.88', '-3.88', '-2.81', '5.88', '-3.88', '-2.81', '94', '62', '48228', '30', '328', '-440', '0', '3', '0', '0', '']
2025-08-28 15:38:07,056 - INFO - ['5.88', '-4.00', '-2.81', '5.88', '-4.00', '-2.81', '5.88', '-4.00', '-2.81', '91', '61', '48228', '28', '328', '-440', '0', '3', '0', '0', '']
